all_cc_inx,VAdjMat,MDEC.12,nAtomLAC,nAtomLC,khs.ssCH2,Kier1,Kier2,FMF,VP.1,C2SP3,nAtom,nAcid,mz,CCS,pred_CCS,delta_CCS_N_N_pred,relative_error,compound_class,pubchem_cid,adducts,cluster_inx
all-cc-3444,-0.15337684240947647,-0.9284064440864525,0.10905240602618606,-0.5518915965156439,-0.6603144286347851,-0.5534788213233495,-0.5869935156669854,0.9935441430179028,-0.6111349242199878,-0.5810270830792418,-0.6527163414462125,-0.6711111967386733,-0.4312245687990433,182.1740048,166.04570177112763,16.128303028872352,0.08853240640221327,Metabolites,440735,[M+Na]+,15
all-cc-17,-1.1876255200946633,-0.9284064440864525,-0.2185390936791156,-0.8055944970263498,-0.4061424816035834,-1.0075299041315031,-0.7297722210244372,1.7321591872040971,-0.8510160677329744,-0.4104250045315115,-0.8200523668790392,-0.6711111967386733,-1.0757082599134875,138.70385684195801,134.9583859903567,3.745470851601283,0.02700336484420148,Metabolites,2181,[M+H]+,15
all-cc-947,0.3877129143916057,2.4184374676931752,0.92803115528944,-0.12905342899780078,-0.06724655222864802,-0.06874950787145011,-0.3060718872923193,0.3311732324251222,0.2605016892287612,0.016080191837814273,0.3034895181699393,-0.6711111967386733,-0.05526885550368014,202.8049,204.84011481076487,-2.03521481076487,0.010035333518888695,Lipids and lipid-like molecules,5280793,[M+H]+,56
all-cc-157,-0.4067287076430858,0.16916807220906294,-0.2185390936791156,-0.6364592300192125,-0.5755904462910512,-0.5839480860409006,-0.4347837422670233,0.7525223917571422,-0.5520237181242991,-0.6663281223531069,-0.4853803160133859,-0.6711111967386733,-0.6703329591394629,162.715261822061,160.14826057463762,2.567001247423377,0.015776032430384734,Metabolites,3100,[M+H]+,15
all-cc-2932,-0.7013330414431199,-0.6228937807374116,-0.5461305933844172,-0.6364592300192125,-0.5755904462910512,-0.7667107453898313,-0.6374011740143147,0.3749540435119639,-0.7627293721837795,-0.6663281223531069,-0.7244317809174239,-0.6711111967386733,-0.8317779793631005,149.84518730000005,147.06168466534731,2.783502634652706,0.018575856087255902,Metabolites,903,[M+H]+,15
all-cc-2151,-0.31828489463281623,-0.9284064440864525,-0.8737220930897188,-0.6364592300192125,-0.6603144286347851,-0.6730981978684569,-0.6479912270500137,0.915795190998303,-0.6912726272400689,-0.4957260438053766,-0.6766214879366163,-0.6711111967386733,-0.6183380325980722,156.390972523817,158.25149521119855,-1.8605226873815752,0.0118966117887542,Metabolites,21704,[M+H]+,15
all-cc-717,0.3877129143916057,0.9107612901705359,-0.05474334382646475,-0.6364592300192125,-0.4908664639473173,-0.06874950787145011,-0.531727917188772,0.1275816774202939,-0.02291417024130047,-0.2398229259837812,0.06443805326590141,-0.6711111967386733,0.10101977824520972,191.94651900634997,195.37554440114656,-3.429025394796554,0.01786448335998797,Drug and Drug-Like Compounds,47936,[M+Na]+,56
all-cc-2339,-1.8542144165719048,-0.9284064440864525,-0.8737220930897188,-0.974729764033487,-0.5755904462910512,-1.0997821987547196,-0.8451390698227342,0.35341110472320136,-1.1094121960055487,-0.4957260438053766,-1.0112935388022697,0.5023287400738573,-1.2110161518149327,128.3744937,128.2722020400677,0.10229165993226276,0.0007968223046807838,Metabolites,440014,[M+H]+,2
all-cc-2626,-0.9282210997156708,0.3309049905997953,-1.3651093426476713,-0.6364592300192125,-0.4061424816035834,-0.5459407141606314,-0.3797709946995785,-1.3700239983779217,-0.3587191669014245,-0.7516291616269721,-0.5810009019750011,-0.6711111967386733,-0.4921939710477704,165.48029519627,162.85758076691388,2.622714429356165,0.015849104125935126,Metabolites,3117,[M+H]+,15
all-cc-534,-0.1533768424094642,-0.5766738003943568,-0.8737220930897188,-0.5518915965156439,-0.7450384109785188,-0.4001254537318164,-0.4041813484032926,0.6040925742651798,-0.6000247890443988,-0.7516291616269721,-0.6288111949558087,0.5023287400738573,-0.4747127491492971,159.366011359706,166.60577781527974,-7.239766455573743,0.04542854774242183,Drug and Drug-Like Compounds,10745,[M+H]+,8
all-cc-2417,0.3877129143916057,-0.4256262689448115,-0.3823348435317664,-0.298188696004938,-0.7450384109785188,-0.21942781811820072,-0.4641867962274758,0.845821134180663,-0.10802392834488406,-0.5810270830792418,-0.3180442905805593,0.5023287400738573,-0.03450791675905825,189.00149396490696,191.59623618337062,-2.5947422184636366,0.013728686287238643,Metabolites,6196,[M+H]+,8
all-cc-3187,-0.002227782859459821,-0.9284064440864525,-0.8737220930897188,-0.6364592300192125,-0.4061424816035834,-0.5756487713942583,-0.5421943378704254,1.5911508605867344,-0.3804622425235926,-0.7516291616269721,-0.5331906089941935,-0.6711111967386733,-0.4179241557032609,171.189683827601,169.79384030655712,1.3958435210438722,0.008153782925667277,Metabolites,2170,[M+H]+,15
all-cc-3292,-1.1876255200946633,0.11782066437379213,-0.5461305933844172,-0.8901621305299183,-0.7450384109785188,-1.0075299041315031,-0.7958435205628471,1.2151286562737598,-0.9059144281545376,-0.7516291616269721,-0.8678626598598467,-0.6711111967386733,-1.1019433684694515,131.0004019,129.65861149889392,1.341790401106124,0.01024264339379957,Metabolites,11396,[M+H]+,15
all-cc-2514,-2.309781776920829,-0.9284064440864525,-1.0375178429423697,-1.0592973975370557,-0.7450384109785188,-1.0443980502953107,-0.8166471468560104,-1.3700239983779217,-1.1540666778794544,-0.6663281223531069,-0.9873883923118656,0.5023287400738573,-1.2719193147273793,134.2846279,126.44518657028748,7.839441329712501,0.058379290707425036,Metabolites,6287,[M+H]+,96
all-cc-1411,1.2176446271615131,0.4676684400304561,1.5217907485052993,1.8160021415842773,2.050853006364698,1.572502964411756,1.7919466890094908,-1.3700239983779217,1.5649152881423745,1.8074020165889824,1.618272575142148,0.5023287400738573,1.4051257446552958,276.6,278.26000153745633,-1.6600015374562531,0.006001451690008145,Lipids and lipid-like molecules,PE(35:1),[M+H]+,1
all-cc-2620,-1.0532871397405434,-0.9284064440864525,-0.5461305933844172,-0.6364592300192125,0.017477430115085815,-0.7907188702981954,-0.5088326219476547,0.4026521076689452,-0.7089852264780153,-0.3251239652576463,-0.5810009019750011,-0.6711111967386733,-0.9185680527741104,144.236341109758,147.5175471973387,-3.281206087580728,0.022748816715226185,Metabolites,3518,[M+H]+,15
