all_cc_inx,VAdjMat,MDEC.12,nAtomLAC,nAtomLC,khs.ssCH2,Kier1,Kier2,FMF,VP.1,C2SP3,nAtom,nAcid,mz,CCS,pred_CCS,delta_CCS_N_N_pred,relative_error,compound_class,pubchem_cid,adducts,cluster_inx
all-cc-444,0.13728246571610744,0.1041189485824046,1.2556226549947418,0.2092171050164737,0.44109734183375504,0.20174529004138766,0.1833621635982591,-1.3700239983779217,0.02292289322934606,0.4425853882071401,0.1361534927371128,1.675768676886388,0.06630261614119362,211.00334271261502,211.110539941971,-0.10719722935601794,0.0005080356926004712,Drug and Drug-Like Compounds,193112,[M+Na]+,14
all-cc-449,1.8642030594037184,-0.9284064440864525,1.2556226549947418,0.3783523720236109,-0.5755904462910512,1.5365428280191802,0.4317358630421305,0.9443031400721524,1.1769915165621545,-0.2398229259837812,0.8294027409588228,-0.6711111967386733,2.0002592599624207,268.363020874705,277.9827909634303,-9.61977008872532,0.03584610896602128,Drug and Drug-Like Compounds,467320,[M+H]+,22
all-cc-476,0.8038713621933496,2.826079513639137,0.2728481558788369,-0.3827563295085066,0.017477430115085815,0.114572606667401,-0.4402813844297749,0.5799197182736344,0.5508368267653713,0.10138123111167943,0.5425409830739774,0.5023287400738573,0.4413631577697373,233.533665752271,220.3402846928392,13.193381059431855,0.056494557291911815,Drug and Drug-Like Compounds,119034,[M+Na]+,8
all-cc-489,1.0225383697224069,-0.9284064440864525,1.0918269051420908,0.2092171050164737,1.4577851299585611,1.4550333571744376,1.7257481935853995,-1.3700239983779217,1.1408796311120448,1.636799938041252,1.3314108172573027,-0.6711111967386733,1.165257397984676,269.453485535285,264.1474935745744,5.305991960710571,0.019691680551728288,Drug and Drug-Like Compounds,6710728,[M+Na]+,11
all-cc-494,1.3253637542659351,0.3927394349339585,0.6004396555841385,0.040081838009336464,-0.5755904462910512,0.9003966598455431,0.184350727535134,0.5688404926108401,0.7126183145329784,0.016080191837814273,0.6620667155259963,-0.6711111967386733,1.1641580121169899,260.837669794319,247.9700663925576,12.867603401761414,0.04933184463696533,Drug and Drug-Like Compounds,5318997,[M+H]+,29
all-cc-495,-0.15337684240947647,-0.23201560297562945,1.2556226549947418,0.4629200055271796,0.8647172535524242,-0.04748337802595203,0.4971667419946612,-1.3700239983779217,0.042031237747437035,0.6984885060287355,0.1839637857179204,-0.6711111967386733,-0.18609268155347927,202.83991477249,202.73906013945344,0.10085463303656184,0.0004972129531294802,Drug and Drug-Like Compounds,3681,[M+Na]+,21
all-cc-505,1.063275782572331,6.5104551738348615,4.203946152342456,1.6468668745771402,0.6952692888649565,1.3232742963444162,1.2277001281854412,-1.3700239983779217,1.179920323627742,0.6131874667548703,1.4270314032189175,-0.6711111967386733,0.8867532846550014,256.753082781245,256.64733354228684,0.1057492389581398,0.00041187135053111993,Drug and Drug-Like Compounds,5477212,[M+H-H2O]+,20
all-cc-507,0.7567845958048931,3.5258085544080275,0.2728481558788369,-0.3827563295085066,0.18692539480255352,0.054779770055692484,-0.4762241711496995,0.6372710040575031,0.520588603187873,0.18668227038554447,0.5186358365835735,0.5023287400738573,0.19744332747419607,210.55379324237305,211.66079242264988,-1.1069991802768868,0.005257559900631171,Drug and Drug-Like Compounds,73299,[M+H-H2O]+,8
all-cc-509,2.398597559906796,3.8111546478361062,0.2728481558788369,1.5622992410735717,0.44109734183375504,2.6863599247987207,0.814838774644016,0.7832560951437163,2.9740745843499266,1.8074020165889824,2.8852453391335486,-0.6711111967386733,3.535863378821357,349.109654846025,349.0170001591085,0.09265468691654632,0.00026540282008932607,Drug and Drug-Like Compounds,16218828,[M+H]+,20
all-cc-525,1.063275782572331,-0.7323912330110443,0.10905240602618606,0.12464947151290508,-0.6603144286347851,0.4755891352018002,-0.05161321896078737,0.8998661374137974,0.34351761239392475,-0.06922084743605088,0.2556792251891318,-0.6711111967386733,0.7368838380680972,231.94281140386002,230.71803869285287,1.2247727110071196,0.005280494375290378,Drug and Drug-Like Compounds,5282150,[M+H]+,29
